18;Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств;
70.22.17;"Услуги по управлению бизнес-процессами

Эта группировка включает:

- предоставление комплексных услуг, совмещающих услуги, требующие интенсивного использования информационных технологий, с рабочей силой (неквалифицированной или квалифицированной, в зависимости от решения), оборудованием и помещениями для поддержки, размещения и управления бизнес-процессами для клиента: финансовыми бизнес-процессами, такими как обработка транзакций, обработка информации по кредитным карточкам;

- услуги, связанные с платежами;

- услуги, связанные с предоставлением ссуд бизнес-процессами, связанными с трудовыми ресурсами, такими как управление льготами, предоставляемыми работодателем, выполнение расчета заработной платы, управление кадрами бизнес-процессами по управлению цепями поставок, такими как управление материально-техническим снабжением;

- услуги по закупкам;

- услуги в области логистики, планирование производства и обработка заказов бизнес-процессами по управлению отношениями с потребителями, такими как службы помощи, телефонные информационные центры;

- предоставление услуг покупателям вертикальными рыночными бизнес-процессами, осуществляемыми определенными отраслями промышленности, такими как энергетическая, химическая, нефтяная промышленность, прочими бизнес-процессами для клиента";
70.22.17.000;Услуги по управлению бизнес-процессами;
70.22.2;Услуги по вопросам руководства проектами прочие, кроме руководства строительными проектами;
70.22.20;"Услуги по вопросам руководства проектами прочие, кроме руководства строительными проектами
Эта группировка включает:
- услуги по координации ресурсов и контролю за их использованием в процессе подготовки, осуществления и завершения проекта по поручению клиента услуги по руководству проектами, которые могут включать бюджетный контроль, контроль за отчетностью и расходами, закупки, планирование графика работ и прочих условий работ, координацию работы субподрядчиков, проверку и контроль качества и т.д.;
- услуги по руководству проектами, которые включают услуги по вопросам управления и административные услуги с предоставлением или без предоставления своего персонала
Эта группировка не включает:
- услуги по руководству строительными проектами, см. 71.12.20
";
70.22.20.000;Услуги по вопросам руководства проектами прочие, кроме руководства строительными проектами;
70.22.3;Услуги консультативные прочие в области предпринимательства;
70.22.30;"Услуги консультативные прочие в области предпринимательства

Эта группировка включает:

- услуги по региональному развитию, промышленному развитию или развитию туризма";
70.22.30.000;Услуги консультативные прочие в области предпринимательства;
70.22.4;Знаки товарные и франшизы;
70.22.40;"Знаки товарные и франшизы

Эта группировка включает:

- оригинальные товарные знаки и франшизы, т.е. официально зарегистрированную собственность конкретного товарного знака

Данные продукты производятся за собственный счет с намерением извлечения выгоды путем разрешения прочим лицам использовать данные товарные знаки или франшизы

Эта группировка не включает:

- услуги по предоставлению лицензий на право использования товарных знаков и франшиз, см. 77.40.12;

- научные исследования и экспериментальные разработки, в результате которых создается продукт или понятие, снабженное товарным знаком, см. раздел 72;

- консультативные услуги, связанные с организацией каналов сбыта (включая франшизы), см. 70.22.13;

- услуги по управлению, связанные с правами на торговые знаки и франшизы, см. 74.90.20";
70.22.40.000;Знаки товарные и франшизы;
